response_id,extra_tasks,start_date,end_date,comput_id,gender,age,education,term_no,field,mindset,intervention,ms_1,ms_2,ms_3,ms_4,cams_1,cams_2,cams_3,cams_4,cams_5,cams_6,cams_7,cams_8,cams_9,cams_10,cams_11,cams_12,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,se_1,se_2,se_3,se_4,se_5,se_6,se_7,se_8,se_9,risc_1,risc_2,risc_3,risc_4,risc_5,risc_6,risc_7,risc_8,risc_9,risc_10,risc_11,grit_1,grit_2,grit_3,grit_4,grit_5,grit_6,grit_7,grit_8,mc_1,mc_2,mc_3,outro_experiences_1,outro_experiences_2,outro_experiences_3,outro_experiences_4,outro_experiences_5,outro_experiences_6,outro_experiences_7,outro_experiences_8,outro_experiences_9,previous_iq_score,agq_1,agq_2,agq_3,agq_4,agq_5,agq_6,agq_7,agq_8,agq_9,agq_10,agq_11,agq_12,agt_p_1,agt_p_2,agt_p_3,agt_p_4,agt_p_5,agt_p_6,agt_p_7,agt_p_8,agt_p_9,agt_p_10,agt_p_11,agt_p_12,iq_assessed,iq_importance,iq_confid_1,meditation,coffee,alcohol,drug,what1,what2,iq_final,iq_practice,iq_real,iq_warmup,ms_mean,se_mean,cams_mean,sc_mean,risc_mean,grit_mean,agq_sap,agq_sav,agq_oap,agq_oav,agq_tap,agq_tav,agt_p_sap,agt_p_sav,agt_p_oap,agt_p_oav,agt_p_tap,agt_p_tav,out_1,out_2,out_3
R_1CDA2o9RhcZkPSR,11,2019/04/11 18:10:40,2019/04/11 19:42:12,P-422-14,Female,28,Egyetem,9,Emberi eroforrás tanácsadó,Fixed,Control,5,5,4,4,3,2,2,3,4,3,2,3,3,3,2,3,3,4,4,2,4,3,4,2,3,4,2,3,3,2,2,2,2,2,1,2,2,3,2,3,3,3,2,2,3,3,2,2,4,3,3,1,3,2,2,1,2,3,4,1,6,1,6,6,1,5,5,6,NA,7,6,4,6,6,6,4,4,5,6,7,6,6,6,4,6,6,6,4,5,6,6,7,6,Nem,Fontos.,4,Havonta,Két csészével.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","A feladatok az intelligencia szintet határozták meg, figyelembe véve a személy érzelmi állapotát, életmódját és az intellektussal kapcsolatos eddigi nézoponjtját.","Az idohatárok kevesek voltak a feladatok gyors átlátásához számomra. Jómagam gyengénlátónak számítok, ezért is okozott nehézséget a rövid idohatár.",0.3333333333333333,0.5882352941176471,0.6666666666666666,0.4166666666666667,4.5,2,2.75,3.1666666666666665,2.5454545454545454,2.375,5,6.5,4,5.5,6.5,6,5.5,6.5,4,6,6,6,1.358770794338671,-1.3381044478563486,1.5321755572235192
R_1CkIF0IkGdIeexf,2,2019/04/29 17:58:01,2019/04/29 18:52:10,P-422-20,Female,21,Folyamatban lévo egyetemi tanulmányok,1,gyógypedagógia,Fixed,Mindfulness,2,2,2,2,2,3,3,3,2,2,3,2,3,4,2,2,2,5,5,4,5,4,3,3,2,4,2,4,3,3,3,2,3,2,2,3,3,2,3,3,4,1,1,2,3,2,3,2,3,3,2,2,2,2,1,2,3,5,6,5,3,2,5,4,3,4,3,6,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Igen,Fontos.,5,Soha,Egy csészével.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","Azt vizsgálja, hogy van-e különbség az emberek teljesítményéban, ha úgymond laborítóriumi körülmények között vagy otthoni környezetben végzik el a teszteket.","Nem tudom, mennyire számít különösnek, hogy néhány feladatot nehéznek találtam...",0.5833333333333334,0.058823529411764705,0.8333333333333334,0.5,2,2.6666666666666665,2.5833333333333335,3.5833333333333335,2.3636363636363638,2.125,7,7,7,7,7,7,7,7,7,7,7,7,0.24618883624032598,1.1931908954967627,1.5053831503132973
R_1cULdEeTJD1SeGQ,1,2019/04/29 17:57:38,2019/04/29 19:04:07,P-422-18,Female,24,Egyetem,1,Neveléstudomány MA,Growth,Mindfulness,4,4,4,4,3,1,3,4,3,3,3,4,2,4,4,4,3,4,4,2,5,3,2,2,1,3,1,3,3,3,2,2,2,2,1,1,2,3,3,4,4,2,3,3,4,3,2,4,2,2,2,1,2,1,1,1,4,4,3,3,3,2,5,6,1,6,4,6,NA,7,7,1,7,7,7,1,1,7,7,7,6,7,7,1,7,7,7,1,7,7,7,7,6,Nem,Fontos.,3,Soha,Semennyit.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","Ez a vizsgálat az intelligencia vizsgálatról szólt, hogy megvizsgálják a különbséget az otthoni nyugott környezetben elért teljesítmény és a laboratóriumi teljesítmény között.",Volt egy meditációs légzo gyakorlatra lehetoség,0.3333333333333333,0.058823529411764705,0.4166666666666667,0.4166666666666667,4,2,3.1666666666666665,2.75,3.1818181818181817,1.5,4,7,1,7,7,6.5,7,7,1,7,7,6.5,1.2293810776137386,0.057122094500105434,1.4996248582898681
R_1cXPMSPBo1lW6eB,3,2019/10/21 17:25:41,2019/10/21 18:46:39,P-402-16,Male,21,Érettségi,4,Sportszervezés,Growth,Mindfulness,2,3,3,2,2,3,2,3,2,2,4,4,4,4,3,2,2,3,2,4,3,3,3,2,2,4,3,3,3,3,2,2,2,2,2,1,2,2,2,3,2,1,3,2,2,2,2,2,3,3,4,3,3,4,3,3,3,5,3,2,3,3,4,3,3,4,4,5,NA,6,5,1,6,5,5,1,3,5,5,4,2,5,5,1,4,6,1,4,5,1,5,4,2,Nem,Fontos.,4,Soha,Két csészével.,Két egységnyit fogyasztottam.,"Nem, nem használtam.","Milyen mértékben befolyásolható megfelelo koncentrációval a z intellektuális tudás. Mennyit számít az eros összpontosítás egy adott feladat, készség eloször, majd  jovobeni elvégzéséhez. képest.",Nem mondhatnám.,0.5,0.17647058823529413,0.3333333333333333,0.3333333333333333,2.5,2.111111111111111,2.9166666666666665,2.8333333333333335,2.090909090909091,3.25,4,4.5,1,5,5.5,4,5.5,4.5,2.5,1,5,3,0.04157352769070557,-0.32191505763179806,0.6101066374546126
R_1d5dRkTescWRmFK,6,2019/10/10 17:31:16,2019/10/10 18:54:08,P-422-15,Female,22,Folyamatban lévo egyetemi tanulmányok,4,ELTE-BTK angol-történelem osztatlan tanárszak,Growth,Mindfulness,4,3,4,3,4,2,4,3,4,3,3,3,3,4,4,3,2,3,4,5,4,2,4,1,2,2,1,3,2,2,2,2,2,2,2,2,1,3,3,3,3,4,4,2,3,4,4,3,3,2,3,1,3,2,2,2,3,3,4,1,5,1,5,5,2,5,4,4,NA,6,6,5,6,6,5,4,4,5,6,7,5,4,5,4,6,6,5,3,4,5,6,6,6,Nem,Fontos.,3,Soha,Két csészével.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","A vizsgálat a laboratóriumi keretek között végzett QI tesztekrol szólt. A kutatók célja feltehetoen az volt, hogy legyen egy összehasonlítás alap a stresszesebb laboratóriumi keretek között elvégzett feladatokkal, azokkal az eredményekkel szemben, amit mondjuk nyugodtabb kevésbé steril körülmények között végeznek. Illetve, hogy teszteljék a feladatokat.","Azt, hogy nem csak egy QI teszt volt, hanem a résztvevo személyiségére és lelki állapotára is kíváncsiak voltak, tehát el voltak különítve az úgymond befolyásoló tényezok.",0.6666666666666666,0.29411764705882354,0.6666666666666666,0.6666666666666666,3.5,1.8888888888888888,3.3333333333333335,2.75,3.272727272727273,2.25,5,6.5,4.5,5,6,5.5,5,5.5,3.5,5,5,6,0.7837160031504135,-1.2679127866999784,-0.17754736427304457
R_1DTHO9fPOi5Yv6Y,2,2020/03/02 17:58:36,2020/03/02 18:48:19,P-402-18,Female,20,Folyamatban lévo egyetemi tanulmányok,3,gyógypedagógia,Growth,Control,3,3,3,3,3,2,2,2,3,2,3,3,2,3,3,3,2,4,3,2,4,4,4,2,2,2,2,4,2,2,1,1,2,2,1,1,2,2,3,3,3,3,1,3,3,3,2,2,3,3,2,2,2,2,1,1,3,4,3,5,2,5,4,4,2,2,2,5,NA,6,6,2,6,6,6,2,2,6,6,6,2,5,5,2,5,5,5,2,5,5,5,5,2,Nem,Közepesen fontos.,4,Soha,Két csészével.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","A kísérletet környezeti tényezok zavarása nélkül, figyelmesen elvégezzem.","Nem voltam benne biztos, hogy megértettem a feladatot az ábrák kiválasztása során.kí",0.25,0.11764705882352941,0.5,0.25,3,1.5555555555555556,2.5833333333333335,2.9166666666666665,2.5454545454545454,2,4,6,2,6,6,4,5,5,2,5,5,3.5,-0.22346962250858868,1.5658229251553133,0.6795272141092563
R_1FaMW7r7qwhUT9n,2,2019/10/17 17:21:15,2019/10/17 18:50:54,P-422-11,Female,19,Folyamatban lévo egyetemi tanulmányok,2,Közösségszervezés,Growth,Mindfulness,5,4,4,2,2,3,1,2,3,3,2,2,2,3,4,3,2,2,2,1,2,3,4,1,1,3,2,2,1,2,0,2,2,1,2,0,1,2,2,4,3,2,4,3,3,3,1,2,4,3,5,1,3,5,3,1,4,2,5,3,4,1,5,6,3,3,5,5,NA,7,4,3,7,7,7,2,5,7,5,3,7,2,2,4,5,7,7,5,6,6,6,2,6,Nem,Fontos.,3,Havonta,Semennyit.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","Szerintem a vizsgálat az intelligencia szintet mérte, de közben ott volt az is, hogy idore ment. Tehát gondolom megmérték azt is, hogy az ido átélte stressz mennyire befolyásolja a teljesítményt. Illetve közre játszottak a laboratóriumi körülmények is.",Idore ment. Szerintem ezek nem szoktak.,0.3333333333333333,0.11764705882352941,0.5,0.3333333333333333,3.75,1.2222222222222223,2.5,2.0833333333333335,2.6363636363636362,3.125,6,3.5,2.5,7,6,7,6.5,2,4.5,6.5,4,5.5,0.7157987930316496,-0.11731503314534272,0.7146493342613738
R_1FhShFeOKKjrh3t,9,2020/02/17 17:55:28,2020/02/17 19:01:33,402-16,Female,22,Folyamatban lévo egyetemi tanulmányok,3,Gyógypedagógia,Growth,Mindfulness,3,3,4,5,4,1,3,2,3,3,4,3,3,3,3,3,2,4,2,2,4,3,2,2,2,2,1,4,3,3,3,3,3,3,2,3,3,1,3,4,4,4,4,4,3,4,4,2,1,3,3,1,2,1,1,1,5,5,2,3,2,5,4,3,2,4,4,5,NA,4,4,3,5,5,4,4,4,4,7,6,5,6,5,4,7,7,4,4,4,4,7,6,6,Nem,Közepesen fontos.,5,Soha,Két csészével.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","A kutatók célja az,hogy bizonyítsák az IQ szint változhat. Ehhez feladatok, gyakorlatok állnak rendelkezésünkre. 
",Mintha néha hasonlóságot találtam volna a feladatok közt.,0.5,0.47058823529411764,0.5,0.3333333333333333,3.75,2.888888888888889,2.9166666666666665,2.5,3.3636363636363638,1.625,4.5,5,3.5,4,5.5,5,5.5,5.5,4,4,6.5,6.5,0.13882633271446826,0.520215998488942,0.6043379265777745
R_1FQIoj07R7c0bPC,12,2020/02/17 17:54:45,2020/02/17 19:02:54,P-402-04,Female,19,Folyamatban lévo egyetemi tanulmányok,1,Matematika,Fixed,Control,4,3,4,4,3,2,3,2,2,3,3,3,2,2,2,3,2,4,3,2,3,2,3,2,3,2,3,2,2,2,2,2,2,2,2,1,1,1,4,4,4,4,1,4,4,4,4,4,3,3,3,2,4,3,3,3,4,2,3,2,2,4,4,5,3,5,5,5,NA,6,6,4,4,5,5,4,5,4,4,5,2,4,4,3,5,4,5,3,5,4,5,5,4,Nem,Különösen fontos.,3,Soha,Semennyit.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","A kutatók célja, hogy megvizsgálhassák, hogy a stressz mennyire befolyásolja az embereket.",Nem.,0.5833333333333334,0.5294117647058824,0.9166666666666666,0.5833333333333334,3.75,1.7777777777777777,2.5,2.5833333333333335,3.4545454545454546,3,5,5.5,4,4.5,5,3,4.5,4.5,3,4.5,4.5,4.5,0.6675827970690282,-0.21996146941977252,0.6109450397516262
R_1gceIXEtwB89yxO,2,2019/05/13 17:57:33,2019/05/13 19:01:09,P-422-05,Male,22,Folyamatban lévo egyetemi tanulmányok,5,Matematika,Growth,Control,6,4,4,4,3,2,4,4,4,2,4,4,1,4,4,3,5,5,4,5,5,5,5,5,4,2,2,5,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,2,4,4,4,4,5,2,5,3,5,5,4,4,3,4,3,1,6,1,3,2,4,2,2,4,NA,7,6,1,6,7,1,2,7,1,7,7,7,7,6,1,5,5,1,2,6,1,6,7,6,Nem,Különösen fontos.,5,Soha,Egy csészével.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","Mennyire lényeges, hogy az illeto versenyhelyzetben van-e, mennyire stresszes közben, esetleg mennyire nagyobb eséllyek hibázik","Volt sok alternatív, illetve bemelegíto feladat, közben sok kérdés magamról. Ez nem feltétlenül szokványos.",0.75,0.11764705882352941,0.75,0.5833333333333334,4.5,3,3.25,4.333333333333333,3.727272727272727,4.125,7,6.5,1.5,1,7,6.5,5.5,6.5,1.5,1,6.5,5.5,-0.933967721062964,-1.270242957063268,-0.1945593336530277
R_1H6o4l58bpnmtdw,3,2019/12/09 17:23:06,2019/12/09 18:41:10,402-08,Female,23,Folyamatban lévo egyetemi tanulmányok,8,"Tanári, német-történelem",Growth,Mindfulness,4,5,4,4,3,2,3,4,3,1,2,2,2,4,4,4,2,5,2,1,4,3,2,1,2,5,2,3,2,2,1,1,3,2,1,3,1,4,3,2,4,1,2,2,3,4,2,3,4,4,5,3,4,2,3,2,4,4,3,6,4,3,6,4,5,4,5,6,NA,2,5,1,6,5,7,1,1,7,6,7,1,5,7,1,4,5,6,1,2,7,5,7,2,Nem,Közepesen fontos.,4,Soha,Semennyit.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","A kutatás célja az IQ-nak a felmérése logikai feladatok alapján. Ehhez különbözo képbehelyettesíto feladatokat alkalmaznak. Ezzel a cél a logika felmérése is lehet. Szeretnének mindennél tisztább képet kapni a IQ tesztek pontosságáról, amiket mondjuk az ember otthon szeretne elvégezni. Be akarták mutatni azt is, hogy vajon mennyire pontosak az ilyen tesztek. Vajon laboratóriumi körülmények között mennyire pontos? Plusz a személyes kérdésekbol próbálják leszurni, hogy milyen befolyásoló tényezok lehettek a tesztnél.","Némelyik kép, mintha ismétlodött volna. A végso teszt feladatai között volt, amit nem találtam annyira nehéznek, mint a bemelegíto feladatnál.",0.5,0.11764705882352941,0.4166666666666667,0.3333333333333333,4.25,1.7777777777777777,2.8333333333333335,2.6666666666666665,2.727272727272727,3.375,3,6,1,7,4,3.5,3.5,7,1,6.5,5,3,0.42456428440761634,1.7776871471608755,1.4986507550364208
