response_id,extra_tasks,start_date,end_date,comput_id,gender,age,education,term_no,field,mindset,intervention,ms_1,ms_2,ms_3,ms_4,cams_1,cams_2,cams_3,cams_4,cams_5,cams_6,cams_7,cams_8,cams_9,cams_10,cams_11,cams_12,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,se_1,se_2,se_3,se_4,se_5,se_6,se_7,se_8,se_9,risc_1,risc_2,risc_3,risc_4,risc_5,risc_6,risc_7,risc_8,risc_9,risc_10,risc_11,grit_1,grit_2,grit_3,grit_4,grit_5,grit_6,grit_7,grit_8,mc_1,mc_2,mc_3,outro_experiences_1,outro_experiences_2,outro_experiences_3,outro_experiences_4,outro_experiences_5,outro_experiences_6,outro_experiences_7,outro_experiences_8,outro_experiences_9,previous_iq_score,agt_p_1,agt_p_2,agt_p_3,agt_p_4,agt_p_5,agt_p_6,agt_p_7,agt_p_8,agt_p_9,agt_p_10,agt_p_11,agt_p_12,iq_assessed,iq_importance,iq_confid_1,meditation,coffee,alcohol,drug,what1,what2
R_1d5dRkTescWRmFK,6,2019/10/10 17:31:16,2019/10/10 18:54:08,P-422-15,Female,22,Folyamatban lévo egyetemi tanulmányok,4,ELTE-BTK angol-történelem osztatlan tanárszak,Growth,Mindfulness,3,3,3,4,4,3,4,3,4,2,2,3,3,4,4,3,4,3,4,1,4,2,4,5,4,2,5,3,2,2,1,2,1,2,2,1,2,3,3,3,3,4,4,2,3,4,4,3,3,4,3,5,3,2,4,4,3,3,4,1,5,1,5,5,2,5,4,4,NA,4,5,4,6,6,5,3,4,5,6,6,6,Nem,Fontos.,3,Soha,Két csészével.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","A vizsgálat a laboratóriumi keretek között végzett QI tesztekrol szólt. A kutatók célja feltehetoen az volt, hogy legyen egy összehasonlítás alap a stresszesebb laboratóriumi keretek között elvégzett feladatokkal, azokkal az eredményekkel szemben, amit mondjuk nyugodtabb kevésbé steril körülmények között végeznek. Illetve, hogy teszteljék a feladatokat.","Azt, hogy nem csak egy QI teszt volt, hanem a résztvevo személyiségére és lelki állapotára is kíváncsiak voltak, tehát el voltak különítve az úgymond befolyásoló tényezok."
R_1DTHO9fPOi5Yv6Y,2,2020/03/02 17:58:36,2020/03/02 18:48:19,P-402-18,Female,20,Folyamatban lévo egyetemi tanulmányok,3,gyógypedagógia,Growth,Control,4,3,4,4,3,3,2,2,3,3,2,3,2,3,3,3,4,4,3,4,4,4,4,4,4,2,4,2,2,2,2,1,1,2,1,2,1,2,3,3,3,3,1,3,3,3,2,2,3,3,2,4,2,2,5,5,3,4,3,5,2,5,4,4,2,2,2,5,NA,5,5,2,5,5,5,2,5,5,5,5,2,Nem,Közepesen fontos.,4,Soha,Két csészével.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","A kísérletet környezeti tényezok zavarása nélkül, figyelmesen elvégezzem.","Nem voltam benne biztos, hogy megértettem a feladatot az ábrák kiválasztása során.kí"
R_1FaMW7r7qwhUT9n,2,2019/10/17 17:21:15,2019/10/17 18:50:54,P-422-11,Female,19,Folyamatban lévo egyetemi tanulmányok,2,Közösségszervezés,Growth,Mindfulness,2,4,3,5,2,2,1,2,3,2,3,2,2,3,4,3,4,2,2,5,2,3,4,5,5,3,4,4,1,2,3,2,1,1,2,3,2,2,2,4,3,2,4,3,3,3,1,2,4,3,5,5,3,5,3,5,4,2,5,3,4,1,5,6,3,3,5,5,NA,2,2,4,5,7,7,5,6,6,6,2,6,Nem,Fontos.,3,Havonta,Semennyit.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","Szerintem a vizsgálat az intelligencia szintet mérte, de közben ott volt az is, hogy idore ment. Tehát gondolom megmérték azt is, hogy az ido átélte stressz mennyire befolyásolja a teljesítményt. Illetve közre játszottak a laboratóriumi körülmények is.",Idore ment. Szerintem ezek nem szoktak.
R_1FhShFeOKKjrh3t,9,2020/02/17 17:55:28,2020/02/17 19:01:33,402-16,Female,22,Folyamatban lévo egyetemi tanulmányok,3,Gyógypedagógia,Growth,Mindfulness,4,3,3,2,4,4,3,2,3,2,1,3,3,3,3,3,4,4,2,4,4,3,2,4,4,2,5,2,3,3,0,3,0,3,2,0,0,1,3,4,4,4,4,4,3,4,4,2,1,3,3,5,2,1,5,5,5,5,2,3,2,5,4,3,2,4,4,5,NA,6,5,4,7,7,4,4,4,4,7,6,6,Nem,Közepesen fontos.,5,Soha,Két csészével.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","A kutatók célja az,hogy bizonyítsák az IQ szint változhat. Ehhez feladatok, gyakorlatok állnak rendelkezésünkre. 
",Mintha néha hasonlóságot találtam volna a feladatok közt.
R_1FQIoj07R7c0bPC,12,2020/02/17 17:54:45,2020/02/17 19:02:54,P-402-04,Female,19,Folyamatban lévo egyetemi tanulmányok,1,Matematika,Fixed,Control,3,3,3,3,3,3,3,2,2,2,2,3,2,2,2,3,4,4,3,4,3,2,3,4,3,2,3,4,2,2,1,2,1,2,2,2,2,1,4,4,4,4,1,4,4,4,4,4,3,3,3,4,4,3,3,3,4,2,3,2,2,4,4,5,3,5,5,5,NA,4,4,3,5,4,5,3,5,4,5,5,4,Nem,Különösen fontos.,3,Soha,Semennyit.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","A kutatók célja, hogy megvizsgálhassák, hogy a stressz mennyire befolyásolja az embereket.",Nem.
R_1gceIXEtwB89yxO,2,2019/05/13 17:57:33,2019/05/13 19:01:09,P-422-05,Male,22,Folyamatban lévo egyetemi tanulmányok,5,Matematika,Growth,Control,1,4,3,3,3,3,4,4,4,3,1,4,1,4,4,3,1,5,4,1,5,5,5,1,2,2,4,1,3,3,0,3,0,3,3,0,0,3,4,4,4,4,4,2,4,4,4,4,5,4,5,3,5,5,2,2,3,4,3,1,6,1,3,2,4,2,2,4,NA,7,6,1,5,5,1,2,6,1,6,7,6,Nem,Különösen fontos.,5,Soha,Egy csészével.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","Mennyire lényeges, hogy az illeto versenyhelyzetben van-e, mennyire stresszes közben, esetleg mennyire nagyobb eséllyek hibázik","Volt sok alternatív, illetve bemelegíto feladat, közben sok kérdés magamról. Ez nem feltétlenül szokványos."
R_1H6o4l58bpnmtdw,3,2019/12/09 17:23:06,2019/12/09 18:41:10,402-08,Female,23,Folyamatban lévo egyetemi tanulmányok,8,"Tanári, német-történelem",Growth,Mindfulness,3,5,3,3,3,3,3,4,3,4,3,2,2,4,4,4,4,5,2,5,4,3,2,5,4,5,4,3,2,2,2,1,0,2,1,0,2,4,3,2,4,1,2,2,3,4,2,3,4,2,5,3,4,2,3,4,4,4,3,6,4,3,6,4,5,4,5,6,NA,5,7,1,4,5,6,1,2,7,5,7,2,Nem,Közepesen fontos.,4,Soha,Semennyit.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","A kutatás célja az IQ-nak a felmérése logikai feladatok alapján. Ehhez különbözo képbehelyettesíto feladatokat alkalmaznak. Ezzel a cél a logika felmérése is lehet. Szeretnének mindennél tisztább képet kapni a IQ tesztek pontosságáról, amiket mondjuk az ember otthon szeretne elvégezni. Be akarták mutatni azt is, hogy vajon mennyire pontosak az ilyen tesztek. Vajon laboratóriumi körülmények között mennyire pontos? Plusz a személyes kérdésekbol próbálják leszurni, hogy milyen befolyásoló tényezok lehettek a tesztnél.","Némelyik kép, mintha ismétlodött volna. A végso teszt feladatai között volt, amit nem találtam annyira nehéznek, mint a bemelegíto feladatnál."
R_1hXNMvt2tR5u7z0,5,2019/04/15 17:56:54,2019/04/15 18:57:51,P-422-03,Female,20,Érettségi,1,közösségszervezés,Fixed,Mindfulness,3,4,3,4,3,2,4,4,4,2,2,4,4,4,4,2,3,5,5,1,5,4,5,2,1,5,5,2,3,3,0,3,0,3,3,0,0,3,3,3,2,4,2,3,2,3,4,2,2,4,3,3,2,2,3,3,4,1,5,1,5,1,6,6,1,6,5,6,NA,7,7,5,7,7,7,5,7,7,7,7,7,Nem,Fontos.,4,Soha,Egy csészével.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","Igazából nem tudom, de az nagyon zavaró volt, és nagy stresszt tett rám, hogy az elején kiírta, hogy átlagon aluli a teljesítményem. Ez még stresszesebbé és idegesebbé tett a kitöltés során. A nyugtatás valamelyest sikerült, de az új résznél újból ugyanolyan stresszes lettem, mint elotte.","Nem igazán, bár különös volt, hogy ilyeneknél sosem szoktam ekkora stresszt átélni."
R_1i9TJ5QvIhidouk,3,2019/11/04 17:15:24,2019/11/04 18:36:35,P-402-04,Male,20,Folyamatban lévo egyetemi tanulmányok,2,Muszaki menedzser,Fixed,Mindfulness,4,2,4,5,2,4,1,2,1,3,4,2,2,1,2,2,3,4,2,5,5,1,5,5,4,1,5,5,1,0,3,1,0,0,0,3,3,1,4,3,1,2,1,1,4,1,1,4,3,1,4,1,5,5,1,1,6,1,4,3,3,2,1,2,4,5,4,6,NA,7,7,2,7,7,1,1,7,1,7,7,7,Nem,Különösen fontos.,2,Soha,Egy csészével.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","Hogy megmutassák, hogy tudunk jobban teljesíteni, ha kizárjuk a gondolatainkat és az érzéseinket.","A végén nem mutatta meg, hogy jobban vagy rosszabbul teljesítettem-e mint az átlag."
R_1Ic6ydq1fjPEEjg,13,2019/10/28 17:16:00,2019/10/28 18:35:51,402-09,Female,21,Folyamatban lévo egyetemi tanulmányok,2,Muszaki menedzser,Growth,Control,2,3,5,3,3,3,4,3,4,1,2,3,4,3,4,4,3,4,3,5,3,2,5,4,4,2,3,2,2,2,0,3,1,2,2,2,1,2,3,4,3,4,4,3,3,2,4,2,3,4,2,4,1,1,5,4,5,1,4,3,5,2,2,3,4,2,3,3,NA,7,6,2,6,7,2,2,6,2,7,7,4,Nem,Fontos.,4,Havonta,Semennyit.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","Az, hogy milyen mértékben befolyásolja az embert a rendezett környezet egy teszt kitöltésénél",Nem
R_1imarrc3UroIpS7,17,2020/02/17 17:55:06,2020/02/17 19:02:20,P-402-11,Female,20,Folyamatban lévo egyetemi tanulmányok,1,Matematika,Fixed,Mindfulness,5,2,5,6,2,1,1,2,4,3,4,2,2,3,2,2,4,3,2,5,2,3,1,5,5,2,3,2,3,3,1,1,1,2,3,1,2,3,3,4,2,4,4,4,3,2,4,1,3,2,5,3,3,4,4,2,2,3,5,1,5,1,5,5,3,5,3,3,NA,5,4,4,5,5,6,6,5,6,7,5,6,Nem,Különösen fontos.,5,Soha,Semennyit.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","Összefüggések, sémák keresése a leheto legrövidebb ido alatt. Emberek teljesítményének mérése stresszhelyzetben.",Hasonló gondolkodásmódot igényelt.
R_1IQOLBgkvnVSlLE,10,2020/02/17 17:54:48,2020/02/17 19:21:07,p-402-05,Female,31,Egyetem,1,vezetés és szervezés Msc,Growth,Mindfulness,2,4,3,3,2,2,4,3,4,3,2,3,3,3,3,3,2,4,3,1,5,4,3,1,2,4,1,1,3,3,0,3,0,3,3,0,0,3,2,3,2,2,2,3,3,3,3,2,3,4,3,4,3,1,5,5,3,4,2,1,4,2,3,4,3,2,2,3,NA,6,6,5,5,2,5,5,5,5,6,6,6,Nem,Közepesen fontos.,4,Egy héten többször,Két csészével.,Egy egységnyit fogyasztottam.,"Nem, nem használtam.","Feltehetoen nem a tényleges IQ-szint felmérése áll a teszt fókuszában, hanem a teljesítmény változása különbözo faktorok ( pl. stressz) tükrében,  illetve a személyiségjegyek és a teszten nyújtott teljesítmény kapcsolatának vizsgálata.","Különbözo ellenorzo funciók megléte,(pl kérdések ismétlése) az érzelmi állapot befolyásolása többféle módszeren keresztül"
R_1jADw2kUjNsKWD2,4,2020/02/20 17:50:16,2020/02/20 18:56:39,P-402-07,Female,21,Folyamatban lévo egyetemi tanulmányok,1,szlavisztika - orosz,Growth,Mindfulness,3,3,4,3,2,3,3,1,4,3,3,3,3,3,3,2,4,2,4,4,2,3,3,5,5,3,4,4,2,2,1,2,1,1,1,2,2,2,1,3,4,2,4,3,3,3,2,1,3,2,3,4,4,5,4,3,1,3,3,5,2,4,5,6,1,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,2,Igen,Fontos.,3,Egy héten többször,Öt csészével.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","A vizsgálat célja az volt, hogy a kutatók felmérjék, milyen eredmények születnek az adott teszt kitöltésekor egy ""otthonos"" környezetben, online.","Nem igazán. A már említett tesztem viszonylag rég volt, így nem emlékszem pontosan, milyen volt, tehát összehasonlítási alapom nem nagyon van."
R_1jdMsLmMgd2CsVV,10,2019/11/28 17:20:04,2019/11/28 18:53:33,P-402-15,Male,22,Egyetem,6,ELTE TTK Geofizika MSc,Growth,Mindfulness,5,3,4,5,3,2,3,3,1,3,2,1,3,4,4,3,4,2,5,4,3,4,5,4,5,5,2,1,2,1,1,2,1,1,2,3,0,2,3,2,4,2,4,4,4,3,1,1,3,2,4,5,3,4,4,2,5,1,5,2,3,1,4,4,3,4,3,5,NA,6,5,3,5,7,4,3,3,4,6,6,5,Nem,Fontos.,3,Soha,Semennyit.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","A vizsgálat célja, hogy emmnyire tudj követni a résztvevo a képeken megjelent alakzatokban lévo szábályszeruséget, azaz mennyire látja komplexen az adott feladatot, ami szerintem az IQ méroszáma. A kutatók célja, hogy adott körülmények  (labor) között vizsgálják a résztvevok teljesítményét, majd összehasonlítsák egy másik kísérlettel. További cél, hogy ""képet"" kapjanak egy átlagos IQ szintrol és ebbol következményeket vonjanak le a korábban megadott személyes adatok (életkor, nem, stb.) alapján.","Oszintén szólva számomra nem volt semmilyen feltuno, vagy különös dolog."
R_1joEo1BML97JKMC,3,2019/10/10 17:31:22,2019/10/10 18:58:02,P-422-22,Female,20,Folyamatban lévo egyetemi tanulmányok,2,Biológia,Growth,Mindfulness,3,3,4,3,3,3,2,2,2,3,2,2,2,3,3,2,3,3,2,4,2,3,2,3,4,3,3,3,2,2,1,2,1,1,1,2,2,3,2,3,4,1,1,2,2,2,1,1,3,2,4,3,3,4,3,3,4,1,3,3,4,3,4,4,2,4,4,3,NA,7,6,5,6,5,7,5,5,7,6,6,6,Nem,Fontos.,3,Soha,Semennyit.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","Azt vizsgálta,hogy mennyire befolyásolja egy idegen környezet a képességeinket és, hogy stresszesebb-e így a kitöltés, mint otthon.",Nem.
